"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0080983","01102",10,0,3,"02",104500
"0081179","00500",19,0,2,"02",42300
"0081226","00100",6,0,2,"02",22700
"0081229","01102",19,0,2,"01",37600
"0081256","00701",6,0,2,"02",240000
"0081367","01200",30,0,3,"02",66600
"0081424","00600",24,0,2,"02",36100
"0081484","01101",25,0,3,"02",34400
"0081685","00400",30,0,0,"06",0
"0082051","00300",19,0,4,"03",23200
"0082083","00400",27,0,2,"02",17100
"0082260","00702",18,0,3,"06",12200
"0082265","00600",19,0,4,"05",45000
"0082498","01312",27,0,4,"02",60900
"0082508","00400",22,0,4,"02",67900
"0082572","01102",6,0,4,"02",92500
"0082773","01308",21,0,1,"02",47800
"0082778","01313",13,0,3,"09",2610
"0082985","01200",27,0,4,"02",103624
"0083112","01305",22,0,4,"02",52600
"0083262","00702",0,1,1,"  ",0
"0083330","01311",28,0,3,"02",30500
"0083414","01200",24,0,1,"09",8400
"0083446","00400",34,0,2,"02",94800
"0083628","00702",28,0,1,"08",9200
"0083667","01303",24,0,1,"02",40700
"0083681","01301",21,0,3,"02",16400
"0083807","00100",25,0,2,"02",58000
"0084094","00702",19,0,1,"02",15000
"0084134","00702",15,0,3,"02",19200
"0084538","01313",27,0,1,"08",11380
"0084605","01102",0,1,1,"  ",0
"0084606","01308",67,0,0,"01",0
"0084769","00900",0,1,1,"  ",0
"0084859","00600",27,0,0,"09",0
"0085000","00900",18,0,2,"02",36200
"0085182","01200",25,0,1,"02",18900
"0085217","01102",21,0,2,"02",22400
"0085224","01311",30,0,4,"02",74500
"0085314","00300",7,0,0,"01",0
"0085352","01301",22,0,2,"02",116000
"0085371","00200",6,0,2,"02",28800
"0085465","00900",6,0,2,"02",60970
"0085559","01307",25,0,4,"02",47200
"0085978","00500",6,0,2,"02",86600
"0086092","00702",22,0,1,"07",12000
"0086179","01305",18,0,2,"02",76450
"0086255","01301",15,0,3,"02",40200
"0086411","01301",31,0,2,"02",54250
"0086559","00600",19,0,2,"02",37680
"0086705","00200",28,0,3,"04",45000
"0086728","00400",30,0,5,"02",70800
"0086825","01305",22,0,1,"07",35000
"0086995","00100",9,0,4,"02",24230
"0087131","00200",24,0,3,"01",31000
"0087133","00200",0,2,1,"  ",0
"0087413","01308",27,0,1,"02",32300
"0087562","01102",7,0,8,"05",62900
"0088409","01301",21,0,1,"09",9000
"0088431","01200",22,0,1,"01",15100
"0088526","01313",24,0,2,"02",359000
"0088586","01310",21,0,2,"09",72000
"0088804","00400",27,0,4,"02",52000
